@relation squares

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute class {Large,Small}

@data
-58.13442,8.614589,-6.941762,44.184872,-22.564137,-42.578069,6.445036,-22.421575,Large
13.641627,34.747579,62.411544,-17.380643,-38.486595,-14.022338,10.283322,-66.15056,Small
9.662552,-6.124785,-14.232033,-10.005877,5.78146,17.7698,-7.758804,15.570515,Large
28.590988,16.970601,-41.824012,-27.326841,-15.706454,87.385602,-86.121455,43.088159,Small
-13.113417,-100.250928,-42.178342,5.381792,92.519303,-71.186004,76.049179,-11.327463,Large
3.296973,41.632705,97.816449,21.904312,-16.43142,-52.886772,78.088057,-72.615165,Small
-66.767145,53.001889,40.418112,90.815039,-28.953995,-54.183368,31.784317,-32.755917,Large
-34.245891,25.096251,5.732424,63.568698,4.226555,-14.882064,44.20487,23.590383,Small
58.460458,-42.939095,-13.419075,-72.627994,28.771559,28.940439,-11.960177,12.116729,Large
-29.966398,-21.381878,-26.726406,47.521606,38.937086,-24.621871,42.177078,44.281613,Small
60.612425,94.096647,45.236228,-30.646488,-64.13071,109.472844,-72.843888,38.785068,Large
25.750503,-20.365041,-3.338487,-29.024522,17.091023,8.723949,-11.997967,0.064468,Small
-60.823681,-64.393219,-86.11195,24.454579,28.024117,-39.104949,13.694097,11.242136,Large
8.146342,-44.446232,-33.573387,-27.848575,24.743999,-2.726502,-16.975731,13.871155,Small
54.38635,-46.410421,-16.049601,-52.873968,47.922803,24.02553,8.009098,20.362853,Large
-19.038405,16.926506,12.510469,54.414029,18.449118,-14.622368,49.997992,22.865155,Small
-8.258654,30.175636,47.367995,-14.302256,-52.736546,-25.451012,-21.214779,-50.655151,Large
-88.669705,57.020981,-4.662897,106.618475,-39.072211,-26.985827,44.934597,22.611666,Small
-138.246408,-36.325692,-101.467884,109.005306,7.08459,-73.104215,27.925754,9.250017,Large
-3.539629,42.93002,33.069151,11.164206,-35.305443,6.32124,1.303337,-25.444574,Small
-13.856384,-27.477375,-6.62853,14.558368,28.179359,-34.705229,32.275143,-10.884974,Large
9.069621,38.514272,33.754271,-2.354779,-31.799429,13.829622,-7.11478,-27.039429,Small
56.81691,-83.014051,-79.961557,-84.630342,55.20062,53.764416,-22.307178,52.848518,Large
-31.317605,89.563183,44.597861,53.216032,-67.664756,13.647718,8.250709,-22.699434,Small
-13.150513,114.191412,126.482677,66.091234,-61.250691,-25.441778,17.874783,-52.698546,Large
-2.617983,-12.026634,-8.222377,-2.118271,7.290381,-6.42224,1.685986,3.486123,Small
20.059678,32.847731,24.184039,-48.239617,-61.02767,28.72337,-58.690533,-17.226127,Large
49.788929,55.241348,71.28928,-5.22338,-10.6758,33.740997,10.824552,-26.723731,Small
-53.457697,93.12877,35.33842,58.000241,-88.586225,4.332653,-38.268426,-15.573513,Large
-8.171348,-3.713192,-10.631383,6.553643,2.095486,-1.253157,-0.364549,9.013677,Small
-6.020788,-52.820177,-34.214991,63.574633,110.374021,-24.625974,94.397306,41.331085,Large
33.391893,6.808313,46.328435,-38.748673,-12.165092,-6.128228,0.771449,-51.685214,Small
-11.046024,-62.332997,-67.667348,-17.101487,34.185486,-5.711672,2.100069,19.919516,Large
7.29043,19.187184,14.305582,2.718833,-9.177921,12.172032,-2.162769,-4.296318,Small
32.249881,-47.979475,-39.381727,-51.843119,28.386237,23.652132,-12.205007,21.462734,Large
6.617536,-33.885887,-64.999883,-34.120717,6.382705,37.731531,-65.234713,37.496701,Small
3.000261,-7.718958,-10.672895,-3.239591,7.479629,5.954198,-0.268493,8.492506,Large
-0.257775,-57.292289,-12.795265,1.637978,58.672493,-44.754799,46.135002,14.175469,Small
-41.819243,-29.447835,-28.897634,24.867505,12.496097,-42.369444,19.818342,-11.590751,Large
-16.409976,-1.982076,27.343262,16.24178,1.81388,-45.735314,45.567118,-27.511458,Small
4.166838,-15.617743,-23.345629,-2.662512,17.12207,11.894724,1.531672,19.236022,Large
-54.748747,-26.433658,-12.023231,60.346966,32.031878,-69.159174,74.757393,17.621451,Small
-11.618101,-9.225189,-11.564142,5.5452,3.152288,-9.279148,3.182865,-0.909261,Large
-28.009425,-33.921029,15.951672,20.931321,26.842925,-77.882126,70.804022,-23.029776,Small
9.541908,-1.26511,2.871207,-12.919486,-2.112468,5.405591,-5.892532,-1.198556,Large
-23.729359,-27.712173,-38.666514,62.725654,66.708467,-12.775018,51.771313,77.662808,Small
5.289595,-50.612089,-38.966228,-24.796641,31.105043,-6.356267,6.026743,8.272487,Large
4.80721,10.106058,20.157273,-4.877071,-10.175919,-5.244005,5.174144,-20.227134,Small
-40.241064,4.714806,5.02849,51.607234,6.651363,-40.554748,32.30411,-13.982372,Large
-5.807281,13.042923,30.965805,5.177937,-13.672267,-23.730162,23.100819,-31.595149,Small
77.128224,-36.854104,-23.422275,-34.665004,79.317324,63.696395,22.338708,64.936885,Large
75.846815,-24.642606,3.486632,-64.076409,36.413012,47.717577,-35.947171,8.283774,Small
2.65073,-35.031478,-65.229325,14.427007,52.109215,32.848577,13.643851,60.875052,Large
6.442055,-48.826724,-7.29796,33.113782,88.382561,-35.086709,74.642546,46.853797,Small
-9.143668,5.278986,15.107004,15.418513,0.99586,-18.971686,14.737907,-13.225954,Large
-65.968788,-10.077156,3.533484,13.843372,-42.04826,-79.579428,27.454012,-55.6589,Small
-28.610031,-48.613806,-36.321241,83.712849,103.716624,-40.902595,99.346938,34.082509,Large
30.768621,4.888795,19.82476,-32.010099,-6.130273,15.832657,-17.074135,-21.066238,Small
38.919406,7.019946,10.279434,-28.514756,3.384704,35.659919,-12.844614,15.523587,Large
28.812058,15.502354,36.7566,-26.178474,-12.86877,7.557812,-4.924228,-34.123016,Small
-29.116024,-36.302236,-77.98623,22.631131,29.817343,12.567969,2.124227,45.963544,Large
-24.088701,54.783613,18.113476,29.796611,-49.075703,12.581436,-6.873526,-12.405566,Small
22.010156,3.97365,16.373138,-37.489555,-19.453049,9.610668,-22.647359,-13.885148,Large
-45.513316,3.667682,-34.070261,88.866999,39.686001,-7.775372,51.129055,77.423945,Small
-29.182474,100.932947,62.124585,29.069407,-101.046014,9.625888,-49.305347,-31.096785,Large
76.031003,-24.821221,5.242303,-60.924774,39.92745,45.967479,-30.86125,9.863926,Small
79.659088,-92.918,-50.096978,-69.26944,103.307648,36.838066,29.779211,50.238917,Large
30.166509,-64.134097,-56.6722,-80.633256,13.66735,22.704612,-73.171359,6.205453,Small
-6.031308,-33.231071,-27.410097,21.325188,48.524951,-11.852283,36.410304,19.062931,Large
18.858433,-32.905819,-27.974863,-57.439089,-5.674837,13.927478,-52.508133,-10.605792,Small
-31.307424,-35.836567,-29.594788,28.378556,32.907699,-37.549203,33.878193,-1.160633,Large
-14.549069,-8.597634,-18.76086,12.68617,6.734735,-4.385844,2.522944,16.897961,Small
61.044786,62.342992,115.957948,-46.925088,-48.223294,7.42983,-17.105836,-54.488749,Large
-2.010709,1.102685,0.259772,3.376615,0.263221,-1.167796,2.533702,1.106134,Small
-29.431902,-48.047202,-31.977692,78.24445,96.85975,-45.501413,95.417136,26.063857,Large
-67.546496,32.195291,21.750833,4.689438,-95.05235,-57.102039,-5.75502,-84.607892,Small
54.39157,94.413202,91.08529,-26.330893,-66.352526,57.719483,-45.559418,-10.702172,Large
-33.175003,-9.56652,9.080515,57.132626,33.524144,-51.822039,75.779662,14.877108,Small
30.722569,-18.177271,-21.209913,2.213874,51.113714,33.755211,21.685307,45.310193,Large
-7.772706,-31.576087,-18.286733,-1.031884,22.771497,-21.06206,12.25747,9.482143,Small
-8.503138,-47.058433,-109.664731,11.479075,50.03437,54.10316,-7.290533,87.274415,Large
41.317723,-16.969969,-17.279954,20.088534,78.376226,41.627709,19.778549,78.686212,Small
-2.259044,94.162434,75.414264,-4.729723,-101.151201,16.489127,-57.136326,-39.549762,Large
-22.524072,-43.724016,8.695024,31.301376,52.501321,-74.943112,83.720416,0.082281,Small
22.256011,-79.81452,-110.657291,-53.282545,48.787985,53.098782,-26.529552,68.133567,Large
-16.18595,-40.253256,-79.72651,7.011022,31.078328,23.287303,-32.462231,70.551582,Small
-23.552781,15.671761,8.590225,30.15474,-9.069802,-16.471246,9.144568,-8.264224,Large
-17.919232,19.139624,5.335113,17.0674,-19.991456,-4.114721,3.262889,-6.186945,Small
-14.673067,-7.115116,2.692957,19.893253,12.335303,-24.48114,22.176049,-9.176397,Large
-17.921898,29.886856,29.915503,92.98037,45.171615,-17.950544,93.009016,45.142969,Small
-4.412164,-10.372877,-5.815195,6.619516,12.580229,-8.969846,11.785178,0.659176,Large
21.837306,-40.311451,-63.812364,-73.95749,-11.808733,45.338219,-97.458403,11.69218,Small
3.898753,-4.543698,-2.864052,-0.536121,7.90633,2.219107,4.074073,4.490067,Large
-52.391211,39.788293,9.773063,83.671063,-8.508442,-22.375981,53.655832,21.506789,Small
-53.765351,18.85806,91.078295,48.786888,-23.836523,-125.985587,58.241544,-109.025917,Large
-67.944017,44.499872,13.212393,14.729161,-97.714728,-36.656537,-16.558318,-66.427249,Small
116.647454,35.70639,31.136901,-77.543009,3.398054,121.216943,-45.057926,57.042283,Large
8.846719,-7.902314,-13.727715,-16.544029,0.205004,14.672119,-22.36943,6.030404,Small
-65.983948,38.012006,55.963752,3.105575,-100.890379,-83.935694,-31.786682,-103.716004,Large
28.661215,-52.514564,-13.919366,-10.505111,70.670667,-9.933982,28.090086,32.07547,Small
-54.992521,32.896098,26.628214,101.344071,13.455452,-48.724637,59.707202,-9.937452,Large
62.966823,-10.760305,14.394792,-56.126295,17.600834,37.811726,-30.971197,-7.554264,Small
-56.284887,-25.853463,6.378443,77.338121,46.906696,-88.516793,82.415917,-30.041562,Large
-50.435337,75.587916,15.97583,28.921037,-97.102216,9.176749,-30.69105,-37.49013,Small
25.541337,-26.799264,-23.703201,-44.734673,7.605928,22.445274,-20.29931,12.281876,Large
-15.259322,-32.884114,-41.752176,22.366592,39.991384,-6.391261,13.498531,48.859445,Small
70.248166,37.849083,2.324306,-42.306291,-9.907208,105.772943,-48.397396,60.351564,Large
36.429777,59.733739,67.585556,4.278823,-19.025138,28.57796,12.13064,-26.876956,Small
-17.405633,72.844541,83.968563,18.997833,-71.252341,-28.529655,-13.806964,-59.04279,Large
-13.67759,42.507159,59.959611,-1.429147,-57.613896,-31.130042,16.023305,-75.066348,Small
81.491808,56.085974,132.541823,-75.85501,-50.449177,5.035959,-21.520835,-69.730599,Large
90.212888,-43.151876,16.839038,-93.301723,40.063041,30.221975,-33.31081,-19.927873,Small
8.853236,-10.914683,-10.136693,-6.98102,12.786899,8.075247,2.025939,10.304322,Large
0.031919,-3.299542,-1.341371,5.480477,8.811938,-1.926252,7.438648,6.853767,Small
12.59987,9.490241,6.069084,-22.737581,-19.627952,16.021027,-23.328731,-2.241406,Large
-5.477941,39.95718,17.085769,9.964921,-35.4702,17.393469,-12.90649,-12.598789,Small
-26.414619,-49.843736,-60.94906,7.360989,30.790106,-15.309295,11.220589,17.106715,Large
-22.319307,5.891276,4.780322,6.742752,-21.467831,-21.208354,5.631798,-20.356877,Small
101.927255,13.36006,28.867821,-99.581983,-11.014789,86.419495,-52.415135,22.419003,Large
21.484631,30.080128,16.760716,-14.11535,-22.710847,34.804043,-27.434762,-9.391436,Small
-6.528513,-26.90013,-27.031246,-9.174975,11.196643,-6.397397,-0.421573,3.646858,Large
31.609565,54.643083,64.060224,-2.656847,-25.690366,22.192424,6.760294,-35.107507,Small
23.42146,27.96097,64.157889,-23.921449,-28.460959,-12.775459,-5.376982,-42.175497,Large
84.310645,72.070038,72.655613,-8.825782,3.414825,83.72507,-8.240207,2.82925,Small
-46.222173,86.755008,55.783955,83.117735,-49.859446,-15.25112,7.944026,-17.312242,Large
-13.811844,-14.942189,5.432398,18.781459,19.911804,-34.186431,39.156046,-0.462783,Small
-111.85424,-49.030506,-26.825918,54.702505,-8.121229,-134.058828,40.061487,-75.276788,Large
5.320983,-16.394448,-22.770456,-5.219145,16.496286,11.696991,-11.595153,22.872293,Small
99.093789,111.763173,112.628257,-22.738629,-35.408013,98.228704,-27.738481,22.011016,Large
52.6409,68.275986,101.738894,-12.902724,-28.53781,19.177991,20.560185,-62.000718,Small
-88.260148,5.162101,-39.081018,78.017951,-15.404298,-44.017029,12.463876,-2.732047,Large
-32.050321,-43.062158,-33.878525,6.518076,17.529912,-41.233954,15.701709,8.346279,Small
-0.44518,8.619013,6.422882,-5.228289,-14.292482,1.750951,-10.40058,-6.095854,Large
-31.159398,9.305096,4.541194,10.128835,-30.335658,-26.395497,5.364934,-25.571757,Small
-71.362244,26.496692,13.434192,39.561985,-58.296951,-58.299743,-10.245638,-50.896077,Large
-40.727841,36.332433,22.068754,57.122432,-19.937842,-26.464163,42.858754,-5.674163,Small
-2.567844,30.901367,23.199748,8.669316,-24.799896,5.133776,-10.198261,-7.464387,Large
-10.363468,52.902532,47.561247,3.003196,-60.262804,-5.022182,-2.33809,-54.921519,Small
-24.905122,-0.430332,31.401109,27.509265,3.034474,-56.736563,34.941339,-40.904125,Large
-77.124095,-4.223693,-36.556295,52.182749,-20.717653,-44.791493,19.850147,11.614949,Small
-20.373708,-5.719898,4.03531,17.085417,2.431607,-30.128916,16.263384,-17.205904,Large
-8.663914,9.694551,19.31959,-6.293175,-24.65164,-18.288953,3.331864,-34.276679,Small
-22.512765,-13.092302,-4.804507,15.61466,6.194198,-30.80056,16.228878,-14.533282,Large
-28.608509,92.386841,49.021666,35.13452,-85.86083,14.756666,-8.230655,-42.495655,Small
2.51548,-10.937814,-10.157213,-10.043078,3.410216,1.734879,-3.770977,2.241896,Large
-41.915093,16.62498,17.638756,91.169406,32.629333,-42.928868,92.183181,31.615557,Small
66.488682,0.946662,-63.560543,-41.874062,23.667958,130.995886,-50.026603,106.730809,Large
54.147044,-27.753873,9.064398,-57.940304,23.960613,17.328772,-21.122032,-12.857659,Small
16.706944,5.653956,3.622928,-9.523416,1.529573,18.737972,-5.884703,10.137461,Large
-15.376875,-2.597228,-10.274176,10.85865,-1.920996,-7.699927,3.181702,5.755952,Small
70.37251,-57.910122,-21.907615,-78.54933,49.733302,34.370003,-2.558769,22.674452,Large
-41.957009,-47.972864,-89.105037,25.531705,31.54756,-0.824836,-15.600467,72.679733,Small
-21.618486,99.674363,65.461301,41.443191,-79.849658,12.594576,-30.504445,-20.403088,Large
-4.865779,-12.508867,-2.563755,37.649154,45.292243,-14.810891,47.594266,35.34713,Small
5.356234,-1.747353,-0.960739,-2.963296,4.140292,4.56962,0.560674,3.880586,Large
-69.62067,1.963168,-52.210489,63.116907,-8.466931,-15.447013,8.94325,45.706726,Small
8.205687,-2.328606,0.821604,-10.258752,0.275541,5.055477,-3.908772,0.561727,Large
-54.455959,9.940179,9.66042,49.029072,-15.367066,-54.176199,48.749313,-15.087306,Small
-90.072573,-58.526423,-74.421188,52.002674,20.456523,-74.177808,29.325641,-11.544653,Large
81.287545,-23.745514,-3.085119,-25.308864,79.724195,60.627151,-4.64847,59.063801,Small
-9.679628,51.680439,89.041514,-33.574099,-94.934167,-47.040703,-38.992186,-95.351609,Large
-55.382172,-66.043135,-92.985378,11.438304,22.099267,-28.439929,-15.503939,49.04151,Small
-12.610959,-6.449829,-3.299158,10.496028,4.334899,-15.76163,9.611586,-6.158977,Large
-3.457914,6.991287,5.727204,13.190034,2.740833,-2.193831,11.925951,4.004916,Small
97.69917,-20.250854,34.830151,-100.985022,16.965001,42.618164,-18.660776,-3.131198,Large
19.289687,81.92293,70.197043,22.097494,-40.535749,31.015574,10.371607,-28.809861,Small
-87.319396,-18.018363,-76.589864,89.53091,20.229877,-28.747895,26.309945,32.196693,Large
20.712459,-11.595779,-16.846343,-5.20211,27.106128,25.963023,-10.452674,32.356692,Small
51.639719,-115.584712,-81.524419,-73.016513,94.207918,17.579426,18.74824,41.701406,Large
49.639074,20.135637,20.235639,-35.055988,-5.552551,49.539072,-34.955986,-5.652553,Small
-4.297659,2.814931,4.48695,0.998737,-6.113853,-5.969677,-1.135908,-6.998854,Large
3.759792,3.270474,1.872748,-3.68237,-3.193052,5.157518,-5.080097,-1.795326,Small
-29.863579,-12.660557,-15.39614,22.307123,5.104101,-27.127996,13.302317,-7.312977,Large
9.153371,23.16447,17.17118,2.253302,-11.757796,15.146661,-3.739987,-5.764507,Small
-119.604268,-12.801329,-31.010073,64.912385,-41.890554,-101.395523,8.312823,-57.357752,Large
0.651655,-2.328527,-2.778841,-3.807207,-0.827025,1.101968,-4.25752,-0.376712,Small
-1.037183,-30.386243,-31.099833,-12.855154,16.493906,-0.323594,-0.541596,9.61069,Large
75.160922,3.944468,37.317008,-66.431935,4.784519,41.788383,-33.059395,-28.588021,Small
-24.241634,-107.090164,-134.291171,-22.753881,60.09465,2.959373,-2.266755,50.749934,Large
