@relation triangles

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute class {Is,Eq}

@data
2.425127,-7.247399,-79.04058,30.22573,-57.044291,-29.243688,Is
9.663506,17.785878,23.749738,-49.618842,6.433785,-18.063298,Eq
-33.553513,11.818052,-6.782364,-20.232659,-4.142583,9.178271,Is
70.267931,-15.426695,2.067387,54.220495,46.782261,29.791025,Eq
-15.592645,25.823006,49.322806,-47.516353,53.53476,21.611053,Is
3.573456,-25.848765,-44.994019,-3.640726,-17.325659,-7.342804,Eq
-19.249568,29.744944,-17.552653,-12.781663,2.862193,9.330098,Is
9.81157,19.57174,-14.035905,-5.033541,-5.862143,10.903581,Eq
-3.842619,-42.404495,53.085562,-8.07706,7.457754,3.223313,Is
37.464502,-24.327093,-29.82263,-15.986478,5.09209,-9.901869,Eq
43.141323,10.120464,3.333982,-54.764182,55.679975,-42.22553,Is
1.85539,-0.222673,35.316384,25.645451,22.528326,7.611756,Eq
8.26127,-4.134262,-2.322929,-5.684366,3.744222,-10.201414,Is
0.182832,-0.106426,-0.457223,1.235908,0.067383,0.662289,Eq
-1.269615,1.435066,2.766091,-3.193212,3.062377,1.13878,Is
-15.796711,-1.185101,10.336729,-48.578609,-9.953013,-28.86473,Eq
18.734877,6.471109,-17.374699,-5.051415,6.441351,-17.344941,Is
15.629136,34.474387,-24.597679,-15.059651,-12.033522,15.838148,Eq
-11.927348,-2.255106,19.077924,-3.369091,4.132281,12.690538,Is
-13.693888,-11.393624,7.977984,-3.213065,-1.611191,-10.606253,Eq
-5.55868,54.334258,-49.868655,3.43631,-2.264693,6.730296,Is
-38.093566,-7.760765,3.666013,-23.804841,-19.658979,-22.147185,Eq
-19.342204,3.102208,-62.344008,77.234514,-77.909259,18.66746,Is
-0.687559,9.301871,13.050176,4.839377,5.5012,4.97692,Eq
-16.494906,-66.339473,-24.124238,14.134111,-60.546364,-29.917347,Is
4.51979,0.549946,1.392441,-17.19714,0.251365,-7.846972,Eq
1.083576,-1.063259,20.121784,-11.369129,15.755615,3.30291,Is
7.544694,1.945762,18.72276,-30.059593,8.255941,-15.760512,Eq
25.522535,18.777773,-33.056089,7.361247,1.941486,-16.219802,Is
-29.084188,8.063987,-14.034975,-54.281956,-31.061434,-25.402565,Eq
1.945689,-1.450253,-0.817048,6.168764,-3.245188,0.977888,Is
-6.29659,9.266226,45.197697,37.504796,23.754262,15.537508,Eq
-6.528188,-3.880385,2.515586,-0.453315,-3.719836,2.355037,Is
-5.742388,-1.12939,-15.259726,45.508985,-3.393121,23.64029,Eq
41.617036,-26.262265,-55.400251,-10.325979,-14.85975,-66.802765,Is
-86.187928,-1.686273,-10.77119,61.973122,-38.777529,18.649513,Eq
-11.984673,9.470007,-2.040075,-34.951084,15.198172,-7.76824,Is
-35.690757,-1.251186,7.941387,30.657004,-9.011708,8.053139,Eq
-23.755424,-7.103133,52.304961,1.284158,10.081123,35.120705,Is
-4.484845,1.275381,5.150592,13.269938,2.160908,5.804168,Eq
-18.97679,-54.105874,47.848791,4.325059,-14.779466,8.522383,Is
-44.298739,7.323855,23.366858,-11.142128,-13.280254,-12.221733,Eq
22.62413,-15.066982,-8.581211,11.227674,-6.125868,-17.522325,Is
-8.660862,46.119723,-27.399207,-11.069658,-26.746,20.380856,Eq
36.637278,-10.88131,-3.629377,19.841571,1.14251,-15.653197,Is
-25.053701,-10.044332,-6.078546,20.727273,-10.876368,2.449556,Eq
-0.2476,17.589864,-32.058168,1.823354,-8.269629,-6.198675,Is
